place,attendance
Gros Morne National Park,238540
Terra Nova National Park,46668
Prince Edward Island National Park,695025
Cape Breton Highlands National Park,333746
Kejimkujik National Park and Historic Site,60649
Fundy National Park,368965
Kouchibouguac National Park,188185
Forillon National Park,173880
La Mauricie National Park,338530
Mingan Archipelago National Park Reserve,39039
Saguenay-St. Lawrence Marine Park,1185322
Bruce Peninsula National Park,428988
Fathom Five National Marine Park,419211
Georgian Bay Islands National Park,44010
Point Pelee National Park,522199
Pukaskwa National Park,14114
Thousand Islands National Park,88520
Riding Mountain National Park,423146
Wapusk National Park,162
Grasslands National Park,18296
Prince Albert National Park,299168
Banff National Park,4181854
Elk Island National Park,528647
Jasper National Park,2425878
Waterton Lakes National Park,568807
"Gwaii Haanas National Park Reserve, National Marine Conservation Area Reserve, and Haida Heritage Site",3316
Kootenay National Park,531009
Mount Revelstoke & Glacier National Parks,787968
Pacific Rim National Park Reserve,1131418
Yoho National Park,712046
Ivvavik National Park,119
Kluane National Park and Reserve,29743
Aulavik National Park,24
Nahanni National Park Reserve,1302
Tuktut Nogait National Park,4
Wood Buffalo National Park,4162
Auyuittuq National Park,709
Quttinirpaaq National Park,33
Sirmilik National Park,494
Cape Spear Lighthouse National Historic Site,54663
Castle Hill National Historic Site,13405
Hawthorne Cottage National Historic Site,8580
L'Anse aux Meadows National Historic Site,37000
Port au Choix National Historic Site,15696
Red Bay National Historic Site,12028
Ryan Premises National Historic Site,12670
Signal Hill National Historic Site,25838
Green Gables Heritage Place,254314
Alexander Graham Bell National Historic Site,110635
Canso Islands & Grassy Island Fort National Historic Sites,4165
Fort Anne National Historic Site,52057
Fort Edward National Historic Site,1544
Fortress of Louisbourg National Historic Site,139596
Grand-Pré National Historic Site,56448
Halifax Citadel National Historic Site,583212
Marconi National Historic Site,4516
Port-Royal National Historic Site,34760
York Redoubt National Historic Site,24097
Carleton Martello Tower National Historic Site,16956
Fort Beauséjour - Fort Cumberland National Historic Site,16668
Monument Lefebvre National Historic Site,3182
St. Andrew's Blockhouse National Historic Site,35606
Artillery Park Heritage Site,53922
Battle of the Châteauguay National Historic Site,4474
Battle of Restigouche National Historic Site,12910
Carillon Canal National Historic Site,31293
Cartier-Brébeuf National Historic Site,14987
Chambly Canal National Historic Site,280196
Coteau-du-Lac National Historic Site,18398
Forges du Saint-Maurice National Historic Site,21060
Fort Chambly National Historic Site,167876
Fort Lennox National Historic Site,30259
Obadjiwan–Fort Témiscamingue National Historic Site,9018
Fortifications of Québec National Historic Site,2234221
Grosse Île and the Irish Memorial National Historic Site,27319
Lachine Canal National Historic Site,925688
Lévis Forts National Historic Site,17100
Louis S. St. Laurent National Historic Site,11648
Manoir Papineau National Historic Site,26197
Pointe-au-Père Lighthouse National Historic Site,30002
Sainte-Anne-de-Bellevue Canal National Historic Site,177001
Saint-Ours Canal National Historic Site,36914
Sir George-Étienne Cartier National Historic Site,7961
Sir Wilfrid Laurier National Historic Site,1908
The Fur Trade at Lachine National Historic Site,13436
Bellevue House National Historic Site,29726
Bethune Memorial House National Historic Site,30814
Fort George National Historic Site,139305
Fort Malden National Historic Site,40780
Fort St. Joseph National Historic Site,4597
Fort Wellington National Historic Site,20815
HMCS Haida National Historic Site,45397
Laurier House National Historic Site,9509
Queenston Heights National Historic Site,23864
Rideau Canal National Historic Site,1014801
Sault Ste. Marie Canal National Historic Site,101677
Trent–Severn Waterway National Historic Site,1286397
Woodside National Historic Site,2615
Lower Fort Garry National Historic Site,49306
Prince of Wales Fort National Historic Site,12136
Riel House National Historic Site,4700
The Forks National Historic Site,135904
York Factory National Historic Site,223
Batoche National Historic Site,18777
Fort Battleford National Historic Site,10068
Fort Walsh National Historic Site,12825
Motherwell Homestead National Historic Site,8851
Banff Park Museum National Historic Site,94926
Bar U Ranch National Historic Site,33370
Cave and Basin National Historic Site,267951
Rocky Mountain House National Historic Site,32361
Sulphur Mountain Cosmic Ray Station National Historic Site,271257
Chilkoot Trail National Historic Site,3016
Fort Langley National Historic Site,180517
Fort Rodd Hill/Fisgard Lighthouse National Historic Sites,98392
Fort St. James National Historic Site,12305
Gulf of Georgia Cannery National Historic Site,126820
SGang Gwaay Llnagaay (Nan Sdins),2871
Rogers Pass National Historic Site,538592
Klondike National Historic Sites,37351
S.S. Klondike National Historic Site,45244
