place,attendance
Gros Morne National Park,238071
Terra Nova National Park,44403
Prince Edward Island National Park,756243
Cape Breton Highlands National Park,300906
Kejimkujik National Park and Historic Site,70756
Sable Island National Park Reserve,394
Fundy National Park,296947
Kouchibouguac National Park,238957
Forillon National Park,169825
La Mauricie National Park,219824
Mingan Archipelago National Park Reserve,41381
Saguenay-St. Lawrence Marine Park,1197305
Bruce Peninsula National Park,490388
Fathom Five National Marine Park,272059
Georgian Bay Islands National Park,35780
Point Pelee National Park,396168
Pukaskwa National Park,9107
Thousand Islands National Park,72625
Riding Mountain National Park,352218
Wapusk National Park,74
Grasslands National Park,17477
Prince Albert National Park,283873
Banff National Park,4121062
Elk Island National Park,391977
Jasper National Park,2463419
Waterton Lakes National Park,457356
"Gwaii Haanas National Park Reserve, National Marine Conservation Area Reserve, and Haida Heritage Site",2629
Kootenay National Park,529666
Mount Revelstoke & Glacier National Parks,801513
Pacific Rim National Park Reserve,1113780
Gulf Islands National Park Reserve,24788
Yoho National Park,700902
Ivvavik National Park,98
Kluane National Park and Reserve,29055
Aulavik National Park,15
Nááts'?hch'oh National Park Reserve,119
Nahanni National Park Reserve,770
Tuktut Nogait National Park,14
Wood Buffalo National Park,3941
Auyuittuq National Park,356
Quttinirpaaq National Park,18
Sirmilik National Park,298
Cape Spear Lighthouse National Historic Site,54507
Castle Hill National Historic Site,5709
Hawthorne Cottage National Historic Site,2880
L'Anse aux Meadows National Historic Site,36060
Port au Choix National Historic Site,14994
Red Bay National Historic Site,10052
Ryan Premises National Historic Site,9628
Signal Hill National Historic Site,9147
Green Gables Heritage Place,211283
Skmaqn–Port-la-Joye–Fort Amherst National Historic Site,33268
Alexander Graham Bell National Historic Site,86816
Canso Islands & Grassy Island Fort National Historic Sites,5602
Fort Anne National Historic Site,29578
Fort Edward National Historic Site,2313
Fortress of Louisbourg National Historic Site,87249
Grand-Pré National Historic Site,39612
Halifax Citadel National Historic Site,534670
Marconi National Historic Site,2136
Port-Royal National Historic Site,22126
York Redoubt National Historic Site,19974
Carleton Martello Tower National Historic Site,11676
Fort Beauséjour - Fort Cumberland National Historic Site,10403
Monument Lefebvre National Historic Site,2327
St. Andrew's Blockhouse National Historic Site,30359
Artillery Park Heritage Site,39599
Battle of the Châteauguay National Historic Site,2041
Battle of Restigouche National Historic Site,6977
Carillon Canal National Historic Site,22644
Cartier-Brébeuf National Historic Site,16323
Chambly Canal National Historic Site,245619
Coteau-du-Lac National Historic Site,12443
Forges du Saint-Maurice National Historic Site,8318
Fort Chambly National Historic Site,144523
Fort Lennox National Historic Site,0
Obadjiwan–Fort Témiscamingue National Historic Site,7007
Fortifications of Québec National Historic Site,1939748
Grosse Île and the Irish Memorial National Historic Site,19366
Lachine Canal National Historic Site,933733
Lévis Forts National Historic Site,14377
Louis S. St. Laurent National Historic Site,4644
Manoir Papineau National Historic Site,0
Pointe-au-Père Lighthouse National Historic Site,30077
Sainte-Anne-de-Bellevue Canal National Historic Site,151139
Saint-Ours Canal National Historic Site,32194
Sir George-Étienne Cartier National Historic Site,4781
Sir Wilfrid Laurier National Historic Site,688
The Fur Trade at Lachine National Historic Site,5913
Bellevue House National Historic Site,11806
Bethune Memorial House National Historic Site,17803
Fort George National Historic Site,66499
Fort Malden National Historic Site,25476
Fort St. Joseph National Historic Site,2717
Fort Wellington National Historic Site,11137
HMCS Haida National Historic Site,18095
Laurier House National Historic Site,6673
Queenston Heights National Historic Site,8900
Rideau Canal National Historic Site,942049
Sault Ste. Marie Canal National Historic Site,92844
Trent–Severn Waterway National Historic Site,1306038
Woodside National Historic Site,1372
Lower Fort Garry National Historic Site,31451
Prince of Wales Fort National Historic Site,11605
Riel House National Historic Site,4049
The Forks National Historic Site,73841
York Factory National Historic Site,217
Batoche National Historic Site,13733
Fort Battleford National Historic Site,5244
Fort Walsh National Historic Site,11709
Motherwell Homestead National Historic Site,6226
Banff Park Museum National Historic Site,36550
Bar U Ranch National Historic Site,21723
Cave and Basin National Historic Site,201114
Rocky Mountain House National Historic Site,21226
Sulphur Mountain Cosmic Ray Station National Historic Site,0
Chilkoot Trail National Historic Site,3183
Fort Langley National Historic Site,103381
Fort Rodd Hill/Fisgard Lighthouse National Historic Sites,62820
Fort St. James National Historic Site,8336
Gulf of Georgia Cannery National Historic Site,63266
SGang Gwaay Llnagaay (Nan Sdins),2960
Rogers Pass National Historic Site,543552
Klondike National Historic Sites,49938
S.S. Klondike National Historic Site,39628
